"lake","year","ba","type","size","times_treat","type_times_treat","cpue","wr","psd_q","psd_p","psd_m","psd_t","size_class"
"ae1","2017","before","control",1.6,"0","control",39,91.1069364208445,69.2307692307692,2.56410256410256,0,0,"small"
"ae1","2018","after","control",1.6,"0","control",34,80.7691913143834,29.4117647058824,0,0,0,"small"
"ae1","2019","after","control",1.6,"0","control",10,90.1587549780422,10,10,0,0,"small"
"anderson county lake","2017","before","control",2.8,"0","control",64,92.4060725582472,7.8125,1.5625,0,0,"small"
"anderson county lake","2018","after","control",2.8,"0","control",22,80.2140725583535,54.5454545454545,9.09090909090909,0,0,"small"
"barbour county lake","2017","before","treat",34,"0","treat1",100,94.5316797853266,20,14,0,0,"big"
"barbour county lake","2018","after","treat",34,"1","treat1",124,106.410450475966,41.1290322580645,4.83870967741935,0,0,"big"
"big pit","2017","before","control",11,"0","control",51,97.2541587444635,11.7647058823529,0,0,0,"small"
"big pit","2018","after","control",11,"0","control",97,91.8521343246397,52.5773195876289,4.12371134020619,0,0,"small"
"big pit","2019","after","control",11,"0","control",124,90.747172374009,45.9677419354839,4.03225806451613,0,0,"small"
"britton","2018","before","treat",2.2,"0","treat1",32,86.930932378423,96.875,40.625,6.25,0,"small"
"britton","2019","after","treat",2.2,"1","treat1",40,80.5251745264294,57.5,22.5,0,0,"small"
"dale county lake","2017","before","control",36,"0","control",159,89.8505967775999,10.625,0,0,0,"big"
"dale county lake","2018","after","control",36,"0","control",159,93.0224444497564,6.91823899371069,2.51572327044025,0,0,"big"
"dale county lake","2019","after","control",36,"0","control",100,81.5426065508181,29,0,0,0,"big"
"dead","2018","before","treat",2.2,"0","treat1",46,79.9358648879263,36.9565217391304,2.17391304347826,0,0,"small"
"dead","2019","after","treat",2.2,"1","treat1",4,81.8382479191639,50,25,0,0,"small"
"drummond1","2018","before","treat",8.7,"0","treat1",58,83.9460655161234,50,1.72413793103448,0,0,"small"
"drummond1","2019","after","treat",8.7,"1","treat1",22,92.3132851086469,72.7272727272727,18.1818181818182,0,0,"small"
"drummond3","2018","before","control",8.8,"0","control",47,85.0516588593471,46.8085106382979,23.4042553191489,0,0,"small"
"drummond3","2019","after","control",8.8,"0","control",17,89.4295465497517,11.7647058823529,11.7647058823529,0,0,"small"
"fp3","2017","before","control",0.7,"0","control",37,92.0833520049986,54.0540540540541,0,0,0,"small"
"fp3","2018","after","control",0.7,"0","control",19,112.735951804281,36.8421052631579,0,0,0,"small"
"fp3","2019","after","control",0.7,"0","control",43,84.8675367228556,9.30232558139535,2.32558139534884,0,0,"small"
"griggs2","2018","before","treat",5.3,"0","treat1",4,83.6652986968431,75,25,0,0,"small"
"griggs2","2019","after","treat",5.3,"1","treat1",9,91.3471735069207,55.5555555555556,22.2222222222222,0,0,"small"
"horseshoe pond","2017","before","treat",1.3,"0","treat2",3,89.7434723977269,100,33.3333333333333,0,0,"small"
"horseshoe pond","2018","after","treat",1.3,"1","treat2",17,91.7491908738968,41.1764705882353,5.88235294117647,0,0,"small"
"horseshoe pond","2019","after","treat",1.3,"2","treat2",15,83.6214327583599,0,0,0,0,"small"
"lee county lake","2017","before","control",48,"0","control",94,93.4154482563461,42.5531914893617,1.06382978723404,0,0,"big"
"lee county lake","2018","after","control",48,"0","control",44,93.3091919242799,63.6363636363636,2.27272727272727,0,0,"big"
"little pit","2017","before","treat",4,"0","treat2",1,125.114307569008,0,0,0,0,"small"
"little pit","2018","after","treat",4,"1","treat2",6,98.5890403649799,40,40,0,0,"small"
"little pit","2019","after","treat",4,"2","treat2",76,89.8690896719549,3.94736842105263,1.31578947368421,0,0,"small"
"lm","2018","before","control",3.4,"0","control",27,79.4229421671633,33.3333333333333,11.1111111111111,0,0,"small"
"lm","2019","after","control",3.4,"0","control",60,87.6315289293448,6.66666666666667,3.33333333333333,1.66666666666667,0,"small"
"mark","2018","before","control",3.3,"0","control",18,90.5566382077576,55.5555555555556,22.2222222222222,0,0,"small"
"mark","2019","after","control",3.3,"0","control",18,93.5524371636219,5.55555555555556,5.55555555555556,0,0,"small"
"monroe county lake","2017","before","treat",34,"0","treat2",38,86.8740535865872,44.7368421052632,0,0,0,"big"
"monroe county lake","2018","after","treat",34,"1","treat2",46,88.0473473920507,30.4347826086957,4.34782608695652,0,0,"big"
"monroe county lake","2019","after","treat",34,"2","treat2",41,87.8325788731877,0,0,0,0,"big"
"promise","2018","before","control",1.9,"0","control",69,78.0453130980742,20.2898550724638,1.44927536231884,0,0,"small"
"promise","2019","after","control",1.9,"0","control",15,81.857778227882,20,6.66666666666667,0,0,"small"
"s3","2017","before","treat",4,"0","treat2",55,91.0495662183279,10.9090909090909,0,0,0,"small"
"s3","2018","after","treat",4,"1","treat2",29,90.2714302405513,31.0344827586207,0,0,0,"small"
"s3","2019","after","treat",4,"2","treat2",60,94.0193463826516,0,0,0,0,"small"
"washington county lake","2017","before","treat",38,"0","treat1",18,82.4685698316954,16.6666666666667,0,0,0,"big"
"washington county lake","2018","after","treat",38,"1","treat1",1,91.8900564374946,100,0,0,0,"big"
