"lake","year","ba","type","size","times_treat","type_times_treat","period","event","site","tl","tlgroup","count","date","size_class"
"ae1","2017","before","control",1.6,"0","control","before",1,1,NA,"0",150,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,1,NA,"25",1,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,1,NA,"50",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,1,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,1,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,1,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,2,NA,"0",26,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,2,NA,"25",6,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,2,NA,"50",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,2,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,2,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,2,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,3,NA,"0",4,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,3,NA,"25",2,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,3,NA,"50",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,3,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,3,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,3,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,4,NA,"0",3,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,4,NA,"25",16,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,4,NA,"50",6,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,4,NA,"75",3,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,4,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,4,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,5,NA,"0",2,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,5,NA,"25",3,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,5,NA,"50",5,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,5,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,5,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,5,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,6,NA,"0",8,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,6,NA,"25",6,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,6,NA,"50",3,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,6,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,6,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,6,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,7,NA,"0",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,7,NA,"25",2,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,7,NA,"50",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,7,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,7,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,7,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,8,NA,"0",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,8,NA,"25",6,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,8,NA,"50",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,8,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,8,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,8,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,9,NA,"0",3,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,9,NA,"25",11,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,9,NA,"50",3,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,9,NA,"75",1,"5/25","small"
