"lake","year","ba","type","size","times_treat","type_times_treat","cpue_1","cpue_2p","wr","psd_q","psd_p","psd_m","psd_t","mla_1","mla_2","mla_3","mla_4","mla_5","mla_6","mla_7","surv","size_class","type_treat"
"ae1","2017","before","control",1.6,"0","control",46,59,82.5997211513077,7.77777777777778,2.22222222222222,0,0,154.891304347826,225.217121588089,NA,237.5,NA,NA,NA,NA,"small","control"
"ae1","2018","after","control",1.6,"0","control",101,80,82.3540725369397,12.0481927710843,1.20481927710843,1.20481927710843,0,169.678217821782,264.329268292683,317.5,NA,262.5,NA,NA,2.24444444444444,"small","control"
"ae1","2019","after","control",1.6,"0","control",28,25,84.252413261864,24,0,0,0,141.071428571429,240.833333333333,279.166666666667,307.5,312.5,337.5,NA,0.388888888888889,"small","control"
"anderson county lake","2017","before","control",2.8,"0","control",33,2,84.1303495462212,26.6666666666667,13.3333333333333,0,0,181.439393939394,287.5,262.5,NA,NA,NA,NA,NA,"small","control"
"anderson county lake","2018","after","control",2.8,"0","control",9,60,81.3799465642368,16.6666666666667,9.72222222222222,1.38888888888889,0,154.166666666667,245,NA,NA,NA,NA,NA,0.28125,"small","control"
"barbour county lake","2017","before","treat",34,"0","treat1",80,121,91.9088188773066,11.7948717948718,1.02564102564103,0,0,218.221393034826,280.140719685138,322.074915824916,NA,437.5,NA,NA,NA,"big","control"
"barbour county lake","2018","after","treat",34,"1","treat1",154,66,89.9581410835642,32.3809523809524,1.9047619047619,0,0,217.37012987013,310.201949860724,327.329659318637,324.242424242424,NA,NA,NA,4.16216216216216,"big","treat"
"big pit","2017","before","control",11,"0","control",46,51,88.7879939144056,36.3636363636364,3.8961038961039,0,0,187.5,290.277777777778,318.75,326.785714285714,NA,NA,NA,NA,"small","control"
"big pit","2018","after","control",11,"0","control",30,82,82.0833133542113,11.7647058823529,0,0,0,181.666666666667,251.102941176471,312.5,312.5,362.5,NA,NA,2,"small","control"
"big pit","2019","after","control",11,"0","control",44,9,86.4237433630465,27.2727272727273,0,0,0,159.009971509972,281.25,275.30487804878,NA,NA,NA,NA,1.4625,"small","control"
"britton","2018","before","treat",2.2,"0","treat1",21,15,78.4581214159751,7.8740157480315,0,0,0,196.128318584071,237.5,NA,NA,NA,NA,NA,NA,"small","control"
"britton","2019","after","treat",2.2,"1","treat1",3,9,108.800128254295,82.3529411764706,5.88235294117647,0,0,279.166666666667,337.5,332.5,312.5,NA,NA,NA,0.2,"small","treat"
"dale county lake","2017","before","control",36,"0","control",196,33,90.9099203955644,11.1764705882353,2.94117647058824,0.588235294117647,0,202.68665158371,278.626279863481,NA,NA,NA,NA,NA,NA,"big","control"
"dale county lake","2018","after","control",36,"0","control",239,45,90.0290109083931,49.3506493506493,14.2857142857143,3.8961038961039,0,163.232217573222,297.02380952381,320.833333333333,NA,NA,NA,NA,6.12820512820513,"big","control"
"dale county lake","2019","after","control",36,"0","control",55,60,95.318884896762,38.3177570093458,9.34579439252336,1.86915887850467,0,196.256805807622,295.488081725312,337.5,NA,NA,NA,NA,0.282564102564103,"big","control"
"dead","2018","before","treat",2.2,"0","treat1",30,15,88.9066810946096,6.89655172413793,3.44827586206897,3.44827586206897,0,167.649025601834,222.905807892777,NA,NA,NA,NA,NA,NA,"small","control"
"dead","2019","after","treat",2.2,"1","treat1",6,3,100.695685651997,22.2222222222222,0,0,0,254.166666666667,304.166666666667,NA,NA,NA,NA,NA,0.4,"small","treat"
"drummond1","2018","before","treat",8.7,"0","treat1",73,52,85.4691761211665,4.12371134020619,3.09278350515464,2.06185567010309,0,154.991467576792,227.170658682635,NA,237.5,NA,NA,NA,NA,"small","control"
"drummond1","2019","after","treat",8.7,"1","treat1",4,30,86.3909712771577,6.66666666666667,0,0,0,168.75,231.944444444444,275,NA,337.5,NA,NA,0.2,"small","treat"
"drummond3","2018","before","control",8.8,"0","control",47,56,78.4315793370637,8.08080808080808,3.03030303030303,2.02020202020202,0,140.691489361702,225.480769230769,237.5,NA,NA,NA,NA,NA,"small","control"
"drummond3","2019","after","control",8.8,"0","control",27,45,89.1341189571051,24.4897959183673,0,0,0,141.203703703704,254.272151898734,280.316091954023,303.804347826087,306.730769230769,NA,NA,0.0551020408163265,"small","control"
"fp3","2017","before","control",0.7,"0","control",17,30,83.821490330142,2.5,0,0,0,174.166666666667,232.313278008299,NA,NA,NA,NA,NA,NA,"small","control"
