"lake","year","ba","type","size","times_treat","type_times_treat","period","event","site","tl","tlgroup","count","date","size_class","type_treat"
"ae1","2017","before","control",1.6,"0","control","before",1,1,27,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,1,26,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,1,30,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,1,30,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,1,36,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,1,29,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,1,31,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,31,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,37,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,36,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,50,"50",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,39,"50",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,38,"50",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,36,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,42,"50",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,44,"50",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,31,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,26,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,41,"50",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,44,"50",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,34,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,33,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,40,"50",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,41,"50",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,41,"50",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,32,"25",1,"5/25/2017","small","control"
"ae1","2017","before","control",1.6,"0","control","before",1,2,48,"50",1,"5/25/2017","small","control"
