"lake","year","month","species","total_count"
"barbour county lake",2016,3,"blue",2
"barbour county lake",2016,3,"lmb",354
"barbour county lake",2017,4,"blue",100
"barbour county lake",2017,4,"lmb",201
"barbour county lake",2017,4,"resu",14
"barbour county lake",2017,5,"blue",2429
"barbour county lake",2017,5,"lmb",211
"barbour county lake",2017,6,"blue",5336
"barbour county lake",2017,6,"lmb",110
"barbour county lake",2017,7,"blue",3396
"barbour county lake",2017,7,"lmb",27
"barbour county lake",2018,4,"blue",124
"barbour county lake",2018,4,"lmb",232
"barbour county lake",2018,4,"resu",5
"dale county lake",2017,4,"blue",NA
"dale county lake",2017,4,"lmb",248
"dale county lake",2017,4,"resu",NA
"dale county lake",2017,5,"blue",2051
"dale county lake",2017,5,"lmb",661
"dale county lake",2017,6,"blue",2190
"dale county lake",2017,6,"lmb",145
"dale county lake",2017,7,"blue",1139
"dale county lake",2017,7,"lmb",39
"dale county lake",2018,3,"blue",159
"dale county lake",2018,3,"lmb",299
"dale county lake",2018,5,"blue",1671
"dale county lake",2018,5,"lmb",2415
"dale county lake",2018,6,"blue",1342
"dale county lake",2018,6,"lmb",195
"dale county lake",2019,3,"blue",100
"dale county lake",2019,3,"lmb",132
"dale county lake",2019,3,"resu",13
"lee county lake",2016,3,"blue",106
"lee county lake",2016,3,"lmb",197
"lee county lake",2017,3,"blcr",49
"lee county lake",2017,3,"blue",94
"lee county lake",2017,3,"lmb",165
"lee county lake",2017,3,"resu",34
"lee county lake",2017,5,"blue",924
"lee county lake",2017,5,"lmb",246
"lee county lake",2017,6,"blue",1753
"lee county lake",2017,6,"lmb",188
"lee county lake",2017,7,"blue",731
"lee county lake",2017,7,"lmb",69
"lee county lake",2018,3,"blue",45
"lee county lake",2018,3,"lmb",97
"lee county lake",2018,3,"resu",8
"monroe county lake",2017,3,"blue",38
"monroe county lake",2017,3,"lmb",54
"monroe county lake",2017,3,"resu",10
"monroe county lake",2017,5,"blue",4042
"monroe county lake",2017,5,"lmb",188
"monroe county lake",2017,6,"blue",2740
"monroe county lake",2017,6,"lmb",30
"monroe county lake",2017,7,"blue",3286
"monroe county lake",2017,7,"lmb",10
"monroe county lake",2018,3,"blue",46
"monroe county lake",2018,3,"lmb",68
"monroe county lake",2018,3,"resu",8
"monroe county lake",2018,5,"blue",4872
"monroe county lake",2018,5,"lmb",432
"monroe county lake",2018,6,"blue",877
"monroe county lake",2018,6,"lmb",71
"monroe county lake",2019,3,"blue",44
"monroe county lake",2019,3,"lmb",86
"monroe county lake",2019,3,"resu",14
"washington county lake",2016,3,"blue",11
"washington county lake",2016,3,"lmb",57
"washington county lake",2017,3,"blue",18
"washington county lake",2017,3,"lmb",70
"washington county lake",2017,3,"resu",5
"washington county lake",2017,5,"blue",4569
"washington county lake",2017,5,"lmb",399
"washington county lake",2017,6,"blue",10985
"washington county lake",2017,6,"lmb",61
"washington county lake",2018,3,"blue",1
"washington county lake",2018,3,"lmb",54
