"lake","year","month","species","gear","total_count"
"barbour county lake",2016,3,"blue","efishing",2
"barbour county lake",2016,3,"lmb","efishing",354
"barbour county lake",2017,4,"blue","efishing",100
"barbour county lake",2017,4,"lmb","efishing",201
"barbour county lake",2017,4,"resu","efishing",14
"barbour county lake",2017,5,"blue","seine",2429
"barbour county lake",2017,5,"lmb","seine",211
"barbour county lake",2017,6,"blue","seine",5336
"barbour county lake",2017,6,"lmb","seine",110
"barbour county lake",2017,7,"blue","seine",3396
"barbour county lake",2017,7,"lmb","seine",27
"barbour county lake",2018,4,"blue","efishing",124
"barbour county lake",2018,4,"lmb","efishing",232
"barbour county lake",2018,4,"resu","efishing",5
"dale county lake",2017,4,"blue","efishing",NA
"dale county lake",2017,4,"lmb","efishing",248
"dale county lake",2017,4,"resu","efishing",NA
"dale county lake",2017,5,"blue","seine",2051
"dale county lake",2017,5,"lmb","seine",661
"dale county lake",2017,6,"blue","seine",2190
"dale county lake",2017,6,"lmb","seine",145
"dale county lake",2017,7,"blue","seine",1139
"dale county lake",2017,7,"lmb","seine",39
"dale county lake",2018,3,"blue","efishing",159
"dale county lake",2018,3,"lmb","efishing",299
"dale county lake",2018,5,"blue","seine",1671
"dale county lake",2018,5,"lmb","seine",2415
"dale county lake",2018,6,"blue","seine",1342
"dale county lake",2018,6,"lmb","seine",195
"dale county lake",2019,3,"blue","efishing",100
"dale county lake",2019,3,"lmb","efishing",132
"dale county lake",2019,3,"resu","efishing",13
"lee county lake",2016,3,"blue","efishing",106
"lee county lake",2016,3,"lmb","efishing",197
"lee county lake",2017,3,"blcr","efishing",49
"lee county lake",2017,3,"blue","efishing",94
"lee county lake",2017,3,"lmb","efishing",165
"lee county lake",2017,3,"resu","efishing",34
"lee county lake",2017,5,"blue","seine",924
"lee county lake",2017,5,"lmb","seine",246
"lee county lake",2017,6,"blue","seine",1753
"lee county lake",2017,6,"lmb","seine",188
"lee county lake",2017,7,"blue","seine",731
"lee county lake",2017,7,"lmb","seine",69
"lee county lake",2018,3,"blue","efishing",45
"lee county lake",2018,3,"lmb","efishing",97
"lee county lake",2018,3,"resu","efishing",8
"monroe county lake",2017,3,"blue","efishing",38
"monroe county lake",2017,3,"lmb","efishing",54
"monroe county lake",2017,3,"resu","efishing",10
"monroe county lake",2017,5,"blue","seine",4042
"monroe county lake",2017,5,"lmb","seine",188
"monroe county lake",2017,6,"blue","seine",2740
"monroe county lake",2017,6,"lmb","seine",30
"monroe county lake",2017,7,"blue","seine",3286
"monroe county lake",2017,7,"lmb","seine",10
"monroe county lake",2018,3,"blue","efishing",46
"monroe county lake",2018,3,"lmb","efishing",68
"monroe county lake",2018,3,"resu","efishing",8
"monroe county lake",2018,5,"blue","seine",4872
"monroe county lake",2018,5,"lmb","seine",432
"monroe county lake",2018,6,"blue","seine",877
"monroe county lake",2018,6,"lmb","seine",71
"monroe county lake",2019,3,"blue","efishing",44
"monroe county lake",2019,3,"lmb","efishing",86
"monroe county lake",2019,3,"resu","efishing",14
"washington county lake",2016,3,"blue","efishing",11
"washington county lake",2016,3,"lmb","efishing",57
"washington county lake",2017,3,"blue","efishing",18
"washington county lake",2017,3,"lmb","efishing",70
"washington county lake",2017,3,"resu","efishing",5
"washington county lake",2017,5,"blue","seine",4569
"washington county lake",2017,5,"lmb","seine",399
"washington county lake",2017,6,"blue","seine",10985
"washington county lake",2017,6,"lmb","seine",61
"washington county lake",2018,3,"blue","efishing",1
"washington county lake",2018,3,"lmb","efishing",54
